Home \ Away,AMÉ,ATL,ASL,CAZ,GUA,JUÁ,LEÓ,MAZ,MON,NEC,PAC,PUE,QUE,SAN,TIJ,TOL,UNL,UNM
América,-,0-0,3-0,7-0,2-1,2-1,-,-,-,-,-,-,-,3-3,-,1-0,2-1,-
Atlas,-,-,1-3,3-2,-,0-1,-,-,-,1-0,-,1-1,3-1,-,1-2,1-0,-,0-0
Atlético San Luis,-,-,-,0-0,-,-,1-2,-,0-1,1-2,1-2,-,-,-,0-0,-,0-3,3-2
Cruz Azul,-,-,-,-,2-1,-,2-1,2-0,-,1-0,1-2,2-2,2-1,-,1-2,2-3,-,-
Guadalajara,-,1-1,0-1,-,-,0-0,0-0,-,1-0,-,0-0,1-0,-,-,-,-,1-4,3-1
Juárez,-,-,1-1,2-2,-,-,-,1-1,0-1,-,2-1,-,1-1,-,-,1-1,0-1,3-1
León,3-2,4-2,-,-,-,1-0,-,0-3,-,-,-,-,3-1,-,2-2,0-1,-,3-3
Mazatlán,1-3,1-0,1-1,-,2-1,-,-,-,-,-,-,2-4,1-1,-,-,1-1,0-1,-
Monterrey,3-2,2-0,-,3-2,-,-,5-1,0-0,-,-,0-0,1-0,-,-,-,-,0-0,-
Necaxa,1-2,-,-,-,0-4,1-0,3-2,2-2,1-2,-,2-0,-,-,-,-,1-3,-,-
Pachuca,0-3,3-1,-,-,-,-,1-0,-,-,-,-,-,2-0,2-0,6-1,-,2-0,0-0
Puebla,1-2,-,0-0,-,-,2-2,1-1,1-1,-,2-2,2-2,-,-,1-0,-,-,2-1,2-1
Querétaro,0-1,-,1-1,-,2-2,-,-,-,0-3,1-2,-,1-1,-,3-3,2-0,-,-,-
Santos Laguna,-,1-0,4-1,4-0,1-1,2-0,2-1,3-0,4-3,3-1,-,-,-,-,-,-,-,-
Tijuana,2-0,-,-,-,1-2,-,0-2,2-0,0-3,1-1,-,3-3,-,0-2,-,-,-,-
Toluca,-,3-2,-,-,0-0,-,-,-,1-1,-,1-4,1-1,4-1,2-1,3-1,-,-,2-2
UANL,-,2-0,-,2-3,-,-,0-1,-,-,0-0,-,-,2-1,2-0,1-0,3-1,-,-
UNAM,0-3,-,-,1-2,-,-,-,1-1,1-1,1-0,-,-,4-1,1-5,1-1,-,1-1,-
